Unnamed: 0,Rain(mm),PET1(mm/h),Water Potential (MPa),Soil moisture (cm3/cm3),Corrected Total(cm/h),Total Flow(cm3/h)
2021-06-19 00:00:00,0,0.000246661342632,-0.73,0.117666666666667,1.46312288876492,56.8954882202823
2021-06-19 00:30:00,0,0.000250571886603,-0.65,0.117666666666667,1.02501333515381,21.7058526849724
2021-06-19 01:00:00,0,0.000251577915758,-0.55,0.117666666666667,0.789754177922113,-2.5538390738957
2021-06-19 01:30:00,0,5.11623490411073E-07,-0.52,0.117666666666667,0.59066002562782,-3.75486962408325
2021-06-19 02:00:00,0,5.03514994150915E-07,-0.48,0.117333333333333,0.718998527614782,25.4662042661701
2021-06-19 02:30:00,0,5.32293023631566E-07,-0.51,0.117333333333333,0.385650962196563,-16.8339530788307
2021-06-19 03:00:00,0,0.000239143714041,-0.49,0.117666666666667,-0.102181847969193,-83.596271365782
2021-06-19 03:30:00,0,0.00025322068818,-0.44,0.117666666666667,0.261226207871742,-16.9694086369051
2021-06-19 04:00:00,0,5.14497655813898E-07,-0.45,0.117666666666667,-0.18016123356767,-78.2920008228802
2021-06-19 04:30:00,0,0.000266577262976,-0.48,0.117666666666667,-0.409897752793523,-90.3613171922271
2021-06-19 05:00:00,0,0.000270002182329,-0.51,0.118333333333333,-0.409897752793523,-90.3613171922271
2021-06-19 05:30:00,0,0.000227266879635,-0.5,0.118333333333333,-0.409897752793523,-90.3613171922271
2021-06-19 06:00:00,0,0.000210331957267,-0.35,0.118333333333333,-0.409897752793523,-90.3613171922271
2021-06-19 06:30:00,0,3.98576315486906E-07,-0.33,0.118333333333333,-0.530721247688977,-111.769527894703
2021-06-19 07:00:00,0,3.76750352053603E-07,-0.23,0.118,-0.530721247688977,-111.769527894703
2021-06-19 07:30:00,0,3.66353326156526E-07,-0.22,0.118,-0.384185032445141,-102.362688166646
2021-06-19 08:00:00,0,0.008335019757139,-0.23,0.118,-0.024023341581585,-67.5115855766388
2021-06-19 08:30:00,0,0.008333451645534,-0.29,0.118,0.112127516770055,-52.2197887495424
2021-06-19 09:00:00,0,0.03577942586185,-0.3,0.118,-0.420913789737174,-97.2361437602748
2021-06-19 09:30:00,0,0.035794030578514,-0.37,0.118,0.802082915236984,13.3712714170699
2021-06-19 10:00:00,0,0.248236056054635,-0.65,0.117666666666667,3.19424452647007,242.808018486412
2021-06-19 10:30:00,0,0.247814983167159,-0.8,0.117666666666667,5.09793810146598,452.840642102561
2021-06-19 11:00:00,0,0.374825842851097,-0.9,0.117,7.80564264389615,687.492962254843
2021-06-19 11:30:00,0,0.374967624628327,-0.98,0.117,10.1728880617244,927.078056266494
2021-06-19 12:00:00,0,0.290270725781074,-1.04,0.116333333333333,11.6507606443737,1078.69485051505
2021-06-19 12:30:00,0,0.290255677561451,-0.86,0.116333333333333,12.2665897025038,1127.52895450686
2021-06-19 13:00:00,0,0.382485450877986,-0.95,0.115333333333333,13.3409323713216,1249.92827998785
2021-06-19 13:30:00,0,0.382601131419905,-1.21,0.115333333333333,16.3294350795237,1534.1757612151
2021-06-19 14:00:00,0,0.315133837756659,-1.09,0.114666666666667,12.0184475329235,1093.96601453702
2021-06-19 14:30:00,0,0.313130590504572,-0.85,0.114666666666667,8.72603386837874,768.99243278371
2021-06-19 15:00:00,0,0.080513843434248,-0.74,0.115,6.26802294247482,532.523531665422
2021-06-19 15:30:00,0,0.080436427976688,-0.9,0.115,3.12407811094296,214.516376779312
2021-06-19 16:00:00,0.4,0.122950795395846,-0.6,0.116666666666667,1.88314091315652,115.014026314248
2021-06-19 16:30:00,0,0.122766834338109,-0.53,0.116666666666667,1.36000265038269,39.0707053786363
2021-06-19 17:00:00,0,0.016777846241743,-0.54,0.118,1.62549196191729,82.7617029674247
2021-06-19 17:30:00,1.6,0.016664641406427,-0.51,0.118,0.295886174281445,-45.2566704719193
2021-06-19 18:00:00,0.8,0.03773613302393,-0.41,0.126666666666667,0.061687123290172,-71.2178061633266
2021-06-19 18:30:00,0.6,0.037734824651198,-0.44,0.126666666666667,-0.351890051086673,-97.7590422820352
2021-06-19 19:00:00,0.2,0.055858394959288,-0.39,0.143666666666667,-0.095575706747,-63.640150788227
2021-06-19 19:30:00,0.2,0.055853797307124,-0.41,0.143666666666667,-0.445484059212145,-103.827205806045
2021-06-19 20:00:00,0.2,3.39768831937848E-07,-0.46,0.151,-0.445484059212145,-103.827205806045
2021-06-19 20:30:00,0.2,3.53506498546145E-07,-0.47,0.151,-0.445484059212145,-103.827205806045
2021-06-19 21:00:00,0.2,3.70560075240941E-07,-0.45,0.153333333333333,-0.445484059212145,-103.827205806045
2021-06-19 21:30:00,0.4,4.16169402957955E-07,-0.46,0.153333333333333,-0.445484059212145,-103.827205806045
2021-06-19 22:00:00,0.4,4.36985863004136E-07,-0.56,0.157,-0.445484059212145,-103.827205806045
2021-06-19 22:30:00,0.4,4.34149700500721E-07,-0.55,0.157,-0.445484059212145,-103.827205806045
2021-06-19 23:00:00,0.4,0.000217390091973,-0.46,0.161,-0.445484059212145,-103.827205806045
2021-06-19 23:30:00,0.4,4.55270471781897E-07,-0.39,0.161,-0.445484059212145,-103.827205806045
