Date,Rain,PET,SV,SF,Soil_moisture,PSY
2022-05-26 00:00:00,0.0,2.92973590850613e-05,1.5331955458857,113.480883343379,0.061,
2022-05-26 00:30:00,0.0,2.80319005335832e-05,1.3599232656645,100.655975606601,0.061,
2022-05-26 01:00:00,0.0,2.60811806209213e-05,1.49481878994225,110.640392333604,0.062,
2022-05-26 01:30:00,0.0,2.71197765068528e-05,0.969421624808655,71.7526362574377,0.062,
2022-05-26 02:00:00,0.0,2.65073590115274e-05,1.08737951233382,80.4833981681383,0.0625,
2022-05-26 02:30:00,0.0,0.0204447361286686,1.1460961500822,84.82936430176,0.0625,
2022-05-26 03:00:00,0.0,2.60447193248391e-05,0.910177266597977,67.3676104067556,0.0625,
2022-05-26 03:30:00,0.0,0.0214036760826607,0.850753862352673,62.9693322985759,0.0625,
2022-05-26 04:00:00,0.0,0.0188964405217193,0.870581656195173,64.4369047592677,0.062,
2022-05-26 04:30:00,0.0,2.55864809630007e-05,0.870581656195173,64.4369047592677,0.062,
2022-05-26 05:00:00,0.0,0.026199698645351,0.870581656195173,64.4369047592677,0.0625,
2022-05-26 05:30:00,0.0,0.0429309085659757,1.12654321572113,83.382135819259,0.0625,
2022-05-26 06:00:00,0.0,0.0513395982290346,1.30183300195062,96.3563711252349,0.062,
2022-05-26 06:30:00,0.0,0.0243393478717644,1.55235671615222,114.899115044856,0.062,
2022-05-26 07:00:00,0.0,0.0189659981342172,1.87537365081395,138.807511582173,0.0615,
2022-05-26 07:30:00,0.0,2.53767325893952e-05,1.70499990989208,126.19714190675,0.0615,-0.343911343472302
2022-05-26 08:00:00,0.0,2.46132818016221e-05,1.70499990989208,126.19714190675,0.0615,-0.3976559806407938
2022-05-26 08:30:00,0.0,0.0147137702625569,1.64789256195954,121.970288844091,0.0615,-0.4844791361297563
2022-05-26 09:00:00,0.0,0.0222601032211484,1.79982627300156,133.215802689311,0.0615,-0.6395704362483986
2022-05-26 09:30:00,0.0,0.0250603684562429,2.11901616032942,156.840936786158,0.0615,-0.8920579378748885
2022-05-26 10:00:00,0.0,0.0092628505063974,2.7613072910152,204.380707606282,0.0615,-1.1297526635340545
2022-05-26 10:30:00,0.0,0.0328850688221118,2.95926949821779,219.03306307538,0.0615,-1.2768394284156088
2022-05-26 11:00:00,0.0,0.0362468998699648,2.93560746865352,217.281696119054,0.0615,-1.3993088890557042
2022-05-26 11:30:00,0.0,0.0115987568063164,2.91194543908926,215.530329162728,0.0615,-1.564836829254851
2022-05-26 12:00:00,0.0,0.0145299026483265,2.88828340952499,213.778962206402,0.0605,-1.7825199674943306
2022-05-26 12:30:00,0.0,0.0158161091866496,2.86462137996072,212.027595250076,0.0605,-2.103644731639468
2022-05-26 13:00:00,0.0,0.0846535455601418,2.84095935039645,210.27622829375,0.0595,-2.5965775802139346
2022-05-26 13:30:00,0.0,0.136298704977028,2.81729732083218,208.524861337424,0.0595,-3.354089884557369
2022-05-26 14:00:00,0.0,0.327313338395865,2.79363529126791,206.773494381098,0.059,-4.240366186202312
2022-05-26 14:30:00,0.0,0.272958634755451,2.76997326170364,205.022127424772,0.059,-4.425996495729919
2022-05-26 15:00:00,0.0,0.204169484603656,2.74631123213937,203.270760468446,0.057999999999999996,-3.647408862598712
2022-05-26 15:30:00,0.0,0.206335150469281,2.7226492025751,201.51939351212,0.057999999999999996,-2.73368690523287
2022-05-26 16:00:00,0.0,0.240672381585461,,489.115,0.056,-2.0965931784320784
2022-05-26 16:30:00,0.0,0.237979641441066,,487.313,0.056,-1.7541548637626627
2022-05-26 17:00:00,0.0,0.19144750079291,,409.786,0.054,-1.5415999149909645
2022-05-26 17:30:00,0.0,0.184171193223431,,413.08,0.054,-1.0873888814086383
2022-05-26 18:00:00,0.0,0.0680844225574538,,399.962,0.0535,-0.6364246339878404
2022-05-26 18:30:00,0.0,0.0680619446212353,,367.34,0.0535,-0.4381243420692111
2022-05-26 19:00:00,0.0,0.0614051474090988,,329.733,0.053,-0.4468651227646436
2022-05-26 19:30:00,0.0,0.0635004434110548,,283.741,0.053,
2022-05-26 20:00:00,0.0,0.0577195479147139,,286.838,0.053,
2022-05-26 20:30:00,0.0,0.0072882045240159,,273.531,0.053,
2022-05-26 21:00:00,0.0,3.36760319945158e-05,,229.895,0.053,
2022-05-26 21:30:00,0.0,0.0404121399091932,,222.104,0.053,
2022-05-26 22:00:00,0.0,0.0389534376045609,2.4150428182396,178.751623079882,0.052,
2022-05-26 22:30:00,0.0,0.0353632119872606,1.93185324535807,142.987900898423,0.052,
2022-05-26 23:00:00,0.0,0.0336189185087487,1.55235671615222,114.899115044856,0.0525,
2022-05-26 23:30:00,0.0,2.9333912043818e-05,1.3599232656645,100.655975606601,0.0525,
2022-05-27 00:00:00,0.0,2.9146910777831e-05,0.968331081416149,71.6719186817586,0.054,
2022-05-27 00:30:00,0.0,2.92213081708731e-05,0.909028100863144,67.2825538443056,0.054,
2022-05-27 01:00:00,0.0,2.8697275808785e-05,0.889220650462593,65.8164871222449,0.055,
2022-05-27 01:30:00,0.0,2.8363972230347e-05,0.809790316656134,59.9373776578293,0.055,
2022-05-27 02:00:00,0.0,2.8252483396266e-05,0.789882301041607,58.4638675086426,0.055,
2022-05-27 02:30:00,0.0,2.9448342935363e-05,0.690036606023165,51.073696242406,0.055,
2022-05-27 03:00:00,0.0,2.87723796102571e-05,0.589675922064972,43.6454075945009,0.055,
2022-05-27 03:30:00,0.0,2.75184997931968e-05,0.617010002674057,45.6685647979131,0.055,
